Subject;;Trial number;;;;;;;;
number;;1;2;3;4;5;6;7;8;9
1;Commanded;15;25;5;10;-15;-25;-10;-5;0
;Measured;15,1515;25,2525;5,0505;10,101;-15,1515;-25,2525;-10,101;-5,0505;0
;Metabolic cost;346,2547;369,9119;327,8401;362,5353;372,49;450,757;361,8187;326,5643;377,7513
;;;;;;;;;;
2;Commanded;25;-15;-25;-5;15;0;-10;10;5
;Measured;23,5135;-13,4234;-23,6937;-4,4144;15,4955;0,1802;-9,4595;10,0901;5,5856
;Metabolic cost;306,6019;279,8814;338,5458;272,8121;298,6673;274,3841;283,6058;299,7256;274,0644
;;;;;;;;;;
3;Commanded;10;15;-10;5;25;0;-25;-5;-15
;Measured;9,9115;14,6018;-10;5,3982;24,6018;-0,2655;-24,9558;-5,2212;-15,0442
;Metabolic cost;281,8825;298,3458;286,941;261,8639;301,8488;260,3342;368,2667;276,6463;294,8738
;;;;;;;;;;
4;Commanded;10;-15;16;0;5;25;-5;-25;-10
;Measured;9,9476;-15,445;15,6021;1,8953;4,3979;24,0838;-4,6073;-24,5131;-9,9476
;Metabolic cost;339,1113;370,6958;382,5254;382,402;342,3977;423,9205;392,7808;485,6394;377,8321
;;;;;;;;;;
5;Commanded;5;-10;10;15;0;-25;-15;-5;25
;Measured;5,2991;-10,2564;10,2564;14,6154;0,0855;-24,4615;-15,4017;-4,9573;24,8718
;Metabolic cost;212,7011;266,2599;237,3233;257,8777;231,153;441,2792;277,7556;209,0916;229,9052
;;;;;;;;;;
6;Commanded;-5;-10;10;25;15;-25;0;5;-15
;Measured;-5,2679;-10,8929;10,1786;25;15,3571;-25,3571;0;5,3571;-14,6429
;Metabolic cost;352,3867;298,7034;264,1167;324,9189;331,8957;365,8278;288,7764;293,9189;321,1919
;;;;;;;;;;
7;Commanded;0;-15;-25;15;-10;25;-5;5;10
;Measured;-0,463;-12,963;-23,7963;14,1667;-9,0741;23,9815;-5,2778;5;9,4444
;Metabolic cost;330,9293;373,6499;413,3242;372,677;356,4357;374,0959;324,7985;320,8368;298,7404
;;;;;;;;;;
8;Commanded;5;15;-5;-10;10;-25;-15;25;0
;Measured;4,5763;14,7458;-5,0847;-9,8305;10,1695;-25,1695;-14,9153;24,8305;-0,2542
;Metabolic cost;267,7443;349,2902;268,0795;268,2757;290,6775;316,9151;283,6347;329,3849;255,3124
;;;;;;;;;;
9;Commanded;-25;-15;10;25;5;0;-10;15;-5
;Measured;-24,7788;-15,0442;9,7345;24,4248;5,5752;-0,0885;-9,646;14,8673;-5,4867
;Metabolic cost;484,9705;401,0118;368,2059;408,5616;361,894;357,5692;367,6066;364,7396;365,3629
